,id,name,domain_id,closed,city_name,zipcode,geohash,new_open,weighted_average_rating,number_of_chains,number_of_bookmarks,number_of_reviews,number_of_product_tags,total_number_of_views,number_of_checkins,number_of_menu_groups,number_of_menu_photos,category_name,price_range,avg_price,parking,credit_card_accepted,good_for_groups,good_for_kids,bookable,best_of_wongnai,wifi,number_of_seats,music_venue,hotel_restaurant,pet_friendly,delivery
144645,209772,ข้าวแกงเจ๊น้อย,1,0,Nakhon Si Thammarat,80110,w1qykss,0,0.0,,,0,0,616,0,0,0,Quick Meal,1.0,,3.0,,,,,,,,,,,
144848,210029,ตำแหล by เอศุภชัย,1,0,Nakhon Si Thammarat,,w1x048x,1,3.0,,,2,1,827,3,0,0,North East,2.0,,3.0,,,,,,1.0,2.0,,,,
145007,210229,ครัวลุงใจป้าแดง,1,0,Nakhon Si Thammarat,80140,w1rnqzz,0,0.0,,,0,0,235,0,0,0,Thai,,,,,,,,,,,,,,
145117,210363,แกงเลียง,1,0,Nakhon Si Thammarat,80180,w1rhcvr,0,0.0,,,0,0,293,0,0,0,Southern Food,,,,,,,,,,,,,,
145133,210387,ขนอมการ์เด้นสวีทรีสอร์ท,3,0,Nakhon Si Thammarat,80210,w1xh2d0,0,0.0,,,0,0,229,0,0,0,Hotel/Resort,,,3.0,,,,,,1.0,,,,0.0,
145248,210525,เป็นต่อมังสวิรัติ,1,0,Nakhon Si Thammarat,80000,w1rpfyp,0,0.0,,,0,0,117,0,0,0,Other,,,,,,,,,,,,,,
145276,210563,ร้านอาหารเขาแจ่ม,1,0,Nakhon Si Thammarat,80110,w1qyktt,0,3.673913043,,,4,1,2001,1,0,0,North East,2.0,,,,,,,,,,,,,
145357,210664,ผัดไทเจ๊ต่าย,1,0,Nakhon Si Thammarat,,w1xh821,1,4.0,,,1,0,108,0,0,0,Quick Meal,1.0,,1.0,,,,,,,,,,,
145618,211010,โรตีป้าหนอม ,1,0,Nakhon Si Thammarat,,w1x13cn,0,3.4414414410000003,,7.0,6,2,1794,4,0,1,Dessert,1.0,,1.0,0.0,,,,,,,,,,
145670,211067,ร้านครัวพฤกษา,1,0,Nakhon Si Thammarat,80170,w1rmf09,0,5.0,,,1,0,768,0,0,0,Thai,,,,,1.0,1.0,,,,,,,,
145698,211105,ฉายโอชา,1,0,Nakhon Si Thammarat,80110,w1qykr7,0,3.0,,2.0,2,0,708,0,0,0,Thai,1.0,,,,,,,,,,,,,
145784,211215,ครัวต้นคูณ,1,0,Nakhon Si Thammarat,80360,w1qtndn,0,0.0,,,0,0,349,0,0,0,Thai,,,,,,,,,,,,,,
145936,211408,จุดพักนักปั่น,1,0,Nakhon Si Thammarat,,w1x0hyu,0,5.0,,5.0,1,0,461,0,0,0,Café/Coffee Shop,1.0,,3.0,,1.0,1.0,,,,3.0,0.0,0.0,,
145997,211492,Sizzler,1,0,Nakhon Si Thammarat,80000,w1rpdvg,0,3.641618497,55.0,5.0,7,5,3208,5,0,3,Steak House/Barbeque,2.0,,3.0,1.0,1.0,1.0,,,,4.0,,,,
146139,211688,ขนมปะดา สามแยกโพธิ์เสด็จ (เจ้าเก่า),1,0,Nakhon Si Thammarat,80000,w1rpfkk,0,3.215517241,,6.0,8,0,1978,5,0,2,Muslim,1.0,,1.0,0.0,0.0,0.0,,,,,,,,
146243,211835,ร้านกาแฟเสรี,1,0,Nakhon Si Thammarat,,w1x01c9,0,4.0,,,1,1,205,0,0,0,Café/Coffee Shop,1.0,,,,,,,,,,,,,
146285,212006,หยดครีม,1,0,Nakhon Si Thammarat,80000,w1rpfgc,0,3.3023255810000003,,,2,1,736,1,0,0,Café/Coffee Shop,1.0,,1.0,,,,,,,,,,,
146425,212197,ผ.ผึ้งทำรัง,1,0,Nakhon Si Thammarat,80000,w1rpfvb,0,4.226027397,,61.0,13,3,8711,9,0,1,Steak House/Barbeque,2.0,,0.0,,,,,,,,,,,
146470,212257,ที่นี่@หัวทะเล เนื้อกะทะ,1,0,Nakhon Si Thammarat,80160,w1x13b4,0,0.0,,1.0,0,0,584,0,0,0,Buffet,2.0,,3.0,,,,,,1.0,5.0,,,,
146668,212501,หมูย่างเมืองตรัง,1,0,Nakhon Si Thammarat,80110,w1qykss,0,4.0,,4.0,0,0,1182,0,0,0,Barbeque/Grill,1.0,,3.0,,,,,,,,,,,
146755,212609,KFC,1,0,Nakhon Si Thammarat,80120,w1x50yv,0,0.0,629.0,,0,5,483,0,0,0,Fastfood,2.0,,,,,,,,,,,,,
146841,212714,ก๋วยเตี๋ยวแสงวิมาน บังรี่,1,0,Nakhon Si Thammarat,,w1rpfu0,0,3.0,,1.0,1,0,195,1,0,0,Noodles,1.0,,1.0,0.0,,,,,,,,,,
146910,212803,ห้องเย็นจ่าติ๊ก-อรัญญา,1,0,Nakhon Si Thammarat,80110,w1qykpn,0,0.0,,1.0,0,0,850,0,0,1,Seafood,4.0,,3.0,0.0,0.0,0.0,1.0,,,,,,,
147046,212976,เขตห้ามล่าสัตว์ป่าแหลมตะลุมพุก,4,0,Nakhon Si Thammarat,80140,w1rrb9m,0,0.0,,1.0,0,0,183,0,0,0,Wildlife Sanctuary,,,,,,,,,,,,,,
147147,213107,ขนมจีน 10 บาท,1,0,Nakhon Si Thammarat,80000,w1rpf7r,0,4.0,,3.0,1,2,558,0,0,0,Quick Meal,1.0,,1.0,,,,,,,,,,,
147184,213162,สะพานยาวอะควาเรี่ยม,1,0,Nakhon Si Thammarat,80000,w1x042v,0,2.716981132,,7.0,5,0,1928,2,0,8,Café/Coffee Shop,2.0,,1.0,,,,,,0.0,,,,,
147237,213225,น้ององุ่น มังคุดคัด@ขนมจีนเมืองคอน พานยม,1,0,Nakhon Si Thammarat,80000,w1rpfu1,0,3.763888889,,5.0,4,1,1624,2,0,1,Street Food/Food Stands,1.0,,3.0,,,,,,,,,,,
147277,213278,ลูกชิ้นทอด สูตรแม่แต้ว,1,0,Nakhon Si Thammarat,,w1x049t,0,4.0,,,1,0,212,1,0,0,Street Food/Food Stands,1.0,,1.0,0.0,,,,,,,,,,
147326,213339,Popup' Cafe @khanom,1,0,Nakhon Si Thammarat,,w1x046t,0,0.0,,,0,0,113,0,0,0,Bakery/Cake,1.0,,1.0,,1.0,1.0,,,,2.0,,,,
147454,213495,สวนอาหารรักษ์ไทย,1,0,Nakhon Si Thammarat,80120,w1x432u,0,4.666666667,,,2,0,1134,0,0,0,Thai,2.0,,3.0,,,,,,,,,,,
147518,213576,โกชุ้นซื่อชวนชิม,1,0,Nakhon Si Thammarat,,w1rpfgb,0,3.798245614,,11.0,7,1,1851,6,0,3,Noodles,1.0,,1.0,0.0,,,,,,,,,,
147670,213756,คลายเคลียดคาราโอเกะ,1,0,Nakhon Si Thammarat,80110,w1qvexe,0,0.0,,,0,0,788,0,0,0,Karaoke,,,,,,,,,,,,,,
147752,213851,โรงสีไฟ นคร,1,0,Nakhon Si Thammarat,,w1rpgpn,1,4.0,,5.0,1,0,1284,1,0,2,Bars,2.0,,3.0,,,,,,,,,,,
147817,213938,ก๋วยเตี๋ยวต้มยำชามพลก,1,0,Nakhon Si Thammarat,,w1rpfur,0,4.0,,6.0,2,2,748,1,0,0,Noodles,1.0,,1.0,,,,,,0.0,2.0,,,,
147834,213961,เดอะเบสท์,1,0,Nakhon Si Thammarat,80110,w1qyknq,0,0.0,,,0,0,274,0,0,0,Other,,,,,,,,,,,,,,
147912,214058,The Kiriwong Valley Restaurant,1,0,Nakhon Si Thammarat,80230,w1qzygh,0,3.8161764710000003,,36.0,8,0,4858,8,0,2,Bakery/Cake,2.0,,3.0,1.0,,,,,1.0,,,,,
148018,214178,น้ำชาชาบังบ่าว,1,0,Nakhon Si Thammarat,80000,w1rpfg9,0,3.76142132,,14.0,13,2,3548,12,0,5,Café/Coffee Shop,1.0,,1.0,0.0,,,,,0.0,,,,,
148020,214180,Voltaire Barber,2,0,Nakhon Si Thammarat,,w1rpgnr,0,5.0,,,1,0,980,2,0,3,Man Hair Cut,,,3.0,0.0,,,,,,,,,,
148125,214309,โชควารี เรือนแพ,1,0,Nakhon Si Thammarat,,w1x1628,0,3.75,,2.0,3,1,1204,3,0,2,Seafood,2.0,,3.0,0.0,,,,,,,,,,
148303,214526,ร้านอาหารเกินร้อย (101),1,0,Nakhon Si Thammarat,80000,w1rp38j,0,0.0,,,0,0,100,0,0,0,Thai,,,,,,,,,,,,,,
148431,214684,ครัวเชอร์รี่ อาหารตามสั่ง,1,0,Nakhon Si Thammarat,,w1x11xq,0,3.516129032,,,4,1,286,2,0,0,Quick Meal,1.0,,,0.0,,,,,,,,,,
148590,214883,จุด 3 จุด,1,0,Nakhon Si Thammarat,,w1rpfvn,1,4.0,,4.0,3,1,3385,0,0,3,Other,2.0,,1.0,,,,,,,,,,,
148617,214921,บ้านขนมจีน,1,0,Nakhon Si Thammarat,80000,w1rpg11,0,4.0,,,1,1,401,0,0,0,Thai,2.0,,,,,,,,,,,,,
148746,215084,Inthanin Coffee,1,0,Nakhon Si Thammarat,80160,w1x13c3,1,3.064516129,213.0,,2,8,399,1,0,0,Café/Coffee Shop,1.0,,3.0,,,,,,,2.0,,,,
148782,215127,เรือนไม้น้ำ Reuan Mai Nam,1,0,Nakhon Si Thammarat,80210,w1xh27v,0,0.0,,1.0,0,0,874,0,0,1,Thai,2.0,,1.0,0.0,1.0,1.0,1.0,,1.0,4.0,,,,
148801,215152,มงคลcafe',1,0,Nakhon Si Thammarat,,w1wbx81,0,0.0,,3.0,0,1,529,0,0,2,Steak House/Barbeque,1.0,,1.0,0.0,0.0,1.0,0.0,,1.0,2.0,,,,
148910,215285,อีซี่ส์,1,0,Nakhon Si Thammarat,80000,w1x048t,0,0.0,44.0,1.0,0,1,149,0,0,0,Quick Meal,,,,,,,,,,,,,,
148957,215348,ตู้เสบียง ห้องครัวของคนนคร,1,0,Nakhon Si Thammarat,,w1rpens,0,3.8863636360000005,,8.0,4,0,3444,4,0,0,Bars,3.0,,3.0,1.0,,,,,1.0,3.0,,,,
148997,215405,ปากคลองซีฟู๊ด,1,0,Nakhon Si Thammarat,80160,w1x164n,0,3.98,,10.0,4,0,2296,3,0,1,Seafood,2.0,,3.0,0.0,1.0,1.0,,,,,,,,
149055,215475,ร้านคุ้มเงิน,1,0,Nakhon Si Thammarat,80180,w1rj76q,0,0.0,,,0,0,113,0,0,0,Other,,,,,,,,,,,,,,
149178,215623,ร้านอีสานร้อยเอ็ด,1,0,Nakhon Si Thammarat,80250,w1qz9nz,0,4.0,,2.0,1,0,1091,0,0,0,North East,,,,,,,,,,,,,,
149253,215715,น้ำเต้าหู้-เต้าฮวย,1,0,Nakhon Si Thammarat,80000,w1x048j,0,4.0,,2.0,3,1,867,3,0,0,Street Food/Food Stands,1.0,,1.0,0.0,,,,,,,,,,
149275,215743,สวนอาหารบางสะพาน,1,0,Nakhon Si Thammarat,80360,w1qtxvk,0,0.0,,,0,0,329,0,0,0,Thai,,,,,,,,,,,,,,
149288,215759,หนุ่มบ่าว-สาวนา,1,0,Nakhon Si Thammarat,,w1wb0zh,0,0.0,,1.0,0,0,218,1,0,0,Thai,1.0,,,,,,,,,,,,,
149327,215807,กล้วยปิ้งกะทิสด,1,0,Nakhon Si Thammarat,,w1qydcg,1,3.0,,1.0,1,0,746,1,0,1,Vegeterian,1.0,,1.0,0.0,,,,,0.0,,,,,
149363,215853,วอลแตร์,1,0,Nakhon Si Thammarat,80000,w1x06mr,0,4.347826087,,1.0,2,1,1325,2,0,1,Street Food/Food Stands,1.0,,0.0,,,,,,0.0,1.0,,,,
149380,215876,เจ๊ติ๋ม ข้าวมันไก่,1,0,Nakhon Si Thammarat,,w1x13c4,0,3.0,,,1,2,387,0,0,0,Chinese,1.0,,1.0,,,,,,,,,,,
149440,215958,Cafe' Amazon,1,0,Nakhon Si Thammarat,,w1rn0gy,0,4.0,,1.0,2,0,847,3,0,0,Café/Coffee Shop,1.0,,3.0,,,,,,,,,,,
149601,216167,ขนมบ้านโกไข่,1,0,Nakhon Si Thammarat,80110,w1qykss,0,3.991150442,,7.0,4,1,8662,3,0,1,Bakery/Cake,1.0,,3.0,,,,,,,,,,,
149628,216204,ร้านบิงซู,1,0,Nakhon Si Thammarat,,w1rr2nh,1,0.0,,5.0,0,0,1876,0,0,1,Ice Cream,1.0,,1.0,,,,,,,,,,,
149663,216242,Black Canyon,1,0,Nakhon Si Thammarat,80110,w1qykjv,0,3.253731343,351.0,5.0,4,37,4056,0,0,0,Café/Coffee Shop,2.0,,3.0,1.0,1.0,1.0,0.0,,0.0,,,,,
149694,216276,ร้านกันเอง,1,0,Nakhon Si Thammarat,,w1qyknn,0,4.0,,,1,0,329,2,0,0,Late Night Rice Porridge,2.0,,,0.0,,,,,,,,,,
149734,216326,หลานพญาแล,1,0,Nakhon Si Thammarat,80000,w1x13ch,0,3.384615385,,1.0,2,0,375,1,0,0,Other,2.0,,1.0,0.0,,,,,,,,,,
149756,216353,กาแฟสดบ้านร่มไม้,1,0,Nakhon Si Thammarat,80120,w1wgxsn,0,0.0,,,0,0,159,0,0,0,Juice/Coffee/Tea/Soft drinks,,,,,,,,,,,,,,
149964,216627,ร้านข้าวแกงพี่อารีย์,1,0,Nakhon Si Thammarat,80130,w1rn20c,0,0.0,,,0,0,242,0,0,0,Thai,,,,,,,,,,,,,,
150099,216799,Kitchen Plus,1,0,Nakhon Si Thammarat,80000,w1rpend,0,3.0,77.0,1.0,1,23,970,4,0,0,Thai,2.0,,3.0,,1.0,,,,,,,,,
150116,216819,ป้าพรอาหารตามสั่ง,1,0,Nakhon Si Thammarat,80000,w1x049n,0,4.0,,3.0,3,1,538,3,0,0,Quick Meal,1.0,,,,,,,,,,,,,
150417,217198,อาหารตามสั่ง อาหารอีสาน,1,0,Nakhon Si Thammarat,,w1x13c4,0,4.0,,1.0,1,0,298,1,0,0,North East,1.0,,1.0,,,,,,0.0,2.0,,,,
150473,217267,ลาภปาก,1,0,Nakhon Si Thammarat,80000,w1x04bc,0,0.0,,1.0,0,0,190,0,0,0,Thai,,,,,,,,,,,,,,
150513,217317,SMALL BOXES,1,0,Nakhon Si Thammarat,,w1x04c5,0,3.7735849060000004,,32.0,7,0,2907,5,0,10,Café/Coffee Shop,2.0,,1.0,0.0,,,,,2.0,,,,,
150631,217456,ข้าวหมกไก่ หน้าวัดวังะวันตก,1,0,Nakhon Si Thammarat,80000,w1x048n,0,4.0,,5.0,4,2,959,1,0,0,Muslim,1.0,,,,,,,,,,,,,
150741,217597,ภัตตาคารบุญญา,1,0,Nakhon Si Thammarat,80110,w1qyk5r,0,4.0,,,1,0,615,0,0,0,Chinese,,,3.0,1.0,,,,,,,,,,
150763,217625,ขนมจีน 4 ภาค,1,0,Nakhon Si Thammarat,,w1rpgk2,1,4.0,,1.0,0,1,775,0,0,1,Northern Food,1.0,,1.0,0.0,1.0,1.0,1.0,,,,,,,
150889,217791,ส้มตำหางเครื่องบิน,1,0,Nakhon Si Thammarat,,w1qykrs,0,0.0,,1.0,0,2,1251,0,0,0,Barbeque/Grill,1.0,,1.0,,,,,,,,,,,
150893,217795,บังบ่าว (ดั้งเดิม),1,0,Nakhon Si Thammarat,80000,w1rpfz0,0,0.0,,,0,0,150,1,0,0,Muslim,1.0,,,,,,,,,,,,,
150895,217799,ครัวตอง 999,1,0,Nakhon Si Thammarat,80230,w1qzwcx,0,0.0,,,0,0,194,0,0,0,Thai,,,,,,,,,,,,,,
150906,217817,ขนมจีนพี่ยิน,1,0,Nakhon Si Thammarat,,w1x13by,0,4.0,,1.0,1,2,407,0,0,0,Southern Food,1.0,,1.0,0.0,1.0,1.0,,,,,,,,
151021,217959,โรงแรมเมืองใหม่,1,0,Nakhon Si Thammarat,80120,w1xh2kg,0,3.0,,2.0,1,1,416,0,0,0,Thai,1.0,,,,,,,,,,,1.0,,
151081,218039,ร้านข้าวแกงสองพี่น้อง,1,0,Nakhon Si Thammarat,80000,w1rp1wg,0,0.0,,,0,0,261,0,0,0,Thai,,,,,,,,,,,,,,
151112,218075,ร้านอาหารอีสานลาบเป็ดอุดร,1,0,Nakhon Si Thammarat,80110,w1qyky9,0,0.0,,1.0,0,0,324,0,0,0,North East,,,,,,,,,,,,,,
151137,218108,ตาลคู่บีชรีสอร์ท,3,0,Nakhon Si Thammarat,80210,w1xh29j,0,0.0,,1.0,0,0,177,0,0,0,Hotel/Resort,,,3.0,,,,,,1.0,,,,1.0,
151224,218215,K&K Coffee,1,0,Nakhon Si Thammarat,,w1rpfvh,0,4.0,,,1,1,688,0,0,1,Noodles,1.0,,1.0,,,,,,2.0,1.0,,,,
151327,218349,Sunshine Coffee And Resturants,1,0,Nakhon Si Thammarat,80000,w1rpgkb,0,4.0,,6.0,4,0,1485,0,0,0,Café/Coffee Shop,1.0,,,,,,,,,,,,,
151538,218602,ชิว ชิว ข้าวหน้าเป็ด,1,0,Nakhon Si Thammarat,,w1x43k2,1,4.0,,2.0,3,2,450,2,0,0,Noodles,1.0,,1.0,,,,,,,,,,,
151602,218679,โรงแรมเดอะพีค บูติค,3,0,Nakhon Si Thammarat,,w1rpdtj,0,4.0,,,1,0,228,1,0,0,Hotel/Resort,,,3.0,,,,,,1.0,,,,0.0,
151671,218767,Coffee'Cat,1,0,Nakhon Si Thammarat,80000,w1rpdup,1,5.0,,2.0,1,0,256,0,0,1,Café/Coffee Shop,1.0,,1.0,,,,,,1.0,,,,,
151724,218842,ข้าวขาหมูนายหัวชา,1,0,Nakhon Si Thammarat,80000,w1rpfyj,0,0.0,,,0,0,143,0,0,0,Chinese,,,,,,,,,,,,,,
151837,218980,แชมป์ ก๋วยเตี๋ยวเนื้อ,1,0,Nakhon Si Thammarat,,w1rpdvt,0,4.0,,,1,0,340,1,0,0,Muslim,1.0,,1.0,0.0,,,,,,,,,,
151910,219068,Hiso Waffle Hongkong,1,0,Nakhon Si Thammarat,,w1qykjy,0,0.0,,1.0,0,0,312,1,0,0,Dessert,1.0,,3.0,,,,,,0.0,0.0,,,,
152174,219384,ขนอมซีฟู้ดสาขา 2,1,0,Nakhon Si Thammarat,,w1xh09v,0,0.0,,1.0,0,0,475,0,0,0,Seafood,2.0,,,,,,,,,,,,,
152499,219787,ก๋วยเตี๊ยวต้มยำหมูมะนาวตัวแม่,1,0,Nakhon Si Thammarat,80000,w1rpfg6,0,4.0,,7.0,1,0,861,1,0,2,Noodles,1.0,,1.0,0.0,0.0,0.0,0.0,,0.0,2.0,,,,
152593,219907,Cafe Amazon,1,0,Nakhon Si Thammarat,80110,w1qykj1,0,0.0,576.0,,0,13,140,0,0,0,Café/Coffee Shop,,,,,,,,,,,,,,
152640,219971,ร้านอาหารคุณใหญ่,1,0,Nakhon Si Thammarat,80110,w1qykss,0,0.0,,,0,0,488,0,0,0,Thai,,,,,,,,,,,,,,
152698,220043,หมี่ผัดจันดี,1,0,Nakhon Si Thammarat,80000,w1rpfgb,0,3.884297521,,21.0,8,1,3136,6,0,5,Noodles,1.0,,1.0,,,,,,,,,,,
152935,220360,Amazon บ่อล้อ,1,0,Nakhon Si Thammarat,80190,w1rnjsz,0,4.0,,,1,0,225,3,0,0,Café/Coffee Shop,,,,,,,,,,,,,,
152957,220386,ริมน้ำคาราโอเกะ,1,0,Nakhon Si Thammarat,80140,w1rr2ne,0,0.0,,,0,0,488,0,0,0,Karaoke,,,,,,,,,,,,,,
153035,220478,สวนอาหารช่อมะม่วง,1,0,Nakhon Si Thammarat,80160,w1wbf7h,0,0.0,,,0,0,303,0,0,0,Thai,,,,,,,,,,,,,,
153347,220861,ร้านไก่ทอดอิสลาม,1,0,Nakhon Si Thammarat,,w1x13cj,0,4.0,,1.0,1,0,277,1,0,0,Street Food/Food Stands,1.0,,1.0,0.0,,,,,0.0,0.0,,,,
153423,220951,โจ๊กหม้อดิน,1,0,Nakhon Si Thammarat,,w1x13c4,1,0.0,,,0,0,95,0,0,0,Quick Meal,1.0,,,,,,,,,,,,,
153485,221034,Delicious Coffee,1,0,Nakhon Si Thammarat,80110,w1qykqg,0,2.0,,2.0,1,0,1049,0,0,1,Café/Coffee Shop,1.0,,0.0,0.0,1.0,1.0,0.0,,,,,,,
153561,221130,ขะ-หนอม เอสเพรสโซ่,1,0,Nakhon Si Thammarat,80210,w1xh0rc,0,3.693227092,,47.0,21,1,7162,15,0,2,Café/Coffee Shop,1.0,,1.0,0.0,,,,,1.0,,,,,
153688,221289,Je Coffee & Restaurant,1,0,Nakhon Si Thammarat,80000,w1x048s,0,4.5,,10.0,4,3,2696,0,0,0,Steak House/Barbeque,2.0,,1.0,0.0,,,1.0,,,,,,,
153933,221609,ครัวนาวา,1,0,Nakhon Si Thammarat,80220,w1qzd4v,0,0.0,,1.0,0,0,311,0,0,0,Thai,,,,,,,,,,,,,,
154121,221858,โจ๊กหมูเจ๊นิด,1,0,Nakhon Si Thammarat,,w1xh2me,0,0.0,,,0,0,106,1,0,0,Street Food/Food Stands,1.0,,,,,,,,,,,,,
154288,222083,โรงแรมเกาะเพชรรีสอร์ท,1,0,Nakhon Si Thammarat,80140,w1rq4kx,0,0.0,,,0,0,357,0,0,0,International,,,,,,,,,,,,1.0,,
154332,222141,ร้านอาหารโกสิทธิ์,1,0,Nakhon Si Thammarat,,w1xh223,0,3.0,,,2,0,294,0,0,0,Quick Meal,2.0,,1.0,,,,,,,,,,,
154408,222252,ครัวมะอินทร์,1,0,Nakhon Si Thammarat,,w1xh0r6,0,3.0,,,1,0,159,1,0,0,Quick Meal,1.0,,,,,,,,,,,,,
154488,222346,MK Restaurant,1,0,Nakhon Si Thammarat,80000,w1rpdvg,0,4.375,508.0,,3,16,1014,4,0,3,Sukiyaki/Shabu,3.0,,3.0,1.0,,,,,,,,,,
154519,222384,Coffee@คีรีวง,1,0,Nakhon Si Thammarat,,w1wbn09,1,0.0,,2.0,0,0,966,1,0,0,Café/Coffee Shop,1.0,,1.0,,,,,,2.0,2.0,,,,
154772,222717,ไอศครีมน้องแก้ม,1,0,Nakhon Si Thammarat,,w1rpcje,0,5.0,,4.0,1,0,406,0,0,0,Ice Cream,1.0,,,0.0,,,,,,,,,,
154816,222788,The Aries Ville,1,0,Nakhon Si Thammarat,80000,w1rpg5z,0,4.408163265,,2.0,3,2,1952,2,0,2,International,1.0,,3.0,1.0,1.0,1.0,1.0,,1.0,5.0,,,,
154860,222840,โรตีป้าหนอม,1,0,Nakhon Si Thammarat,80000,w1rpg50,0,0.0,,,0,1,466,0,0,2,Café/Coffee Shop,1.0,,1.0,,,,,,,,,,,
154908,222900,โรงแรมทุ่งใหญ่ธานี,1,0,Nakhon Si Thammarat,80240,w1qxhv3,0,0.0,,,0,0,429,0,0,0,Thai,,,,,,,,,,,,1.0,,
154926,222921,เดอะ ไปยาลใหญ่,1,0,Nakhon Si Thammarat,,w1x11wy,0,4.184210526,,4.0,5,1,1381,3,0,1,Thai,1.0,,1.0,0.0,,,,,0.0,2.0,,,,
154997,223001,ร้านข้าวแกงไม้เมือง,1,0,Nakhon Si Thammarat,80000,w1x04u0,0,4.0,,,1,0,523,0,0,0,Thai,,,,,,,,,,,,,,
155020,223030,โรงแรมไสใหญ่รีสอร์ท,1,0,Nakhon Si Thammarat,80110,w1qymrc,0,0.0,,,0,0,305,0,0,0,Other,,,,,,,,,,,,1.0,,
155024,223036,ร้านส้มตำ พี่เพ็ญ,1,0,Nakhon Si Thammarat,80000,w1x04dw,0,4.0,,2.0,1,1,379,1,0,1,North East,2.0,,1.0,,,,,,,,,,,
155040,223053,TANOI  Coffee @Khanom,1,0,Nakhon Si Thammarat,,w1wup53,0,0.0,,1.0,0,0,878,1,0,0,Cafe,1.0,,3.0,0.0,,,,,1.0,,,,,
155074,223096,บ้านศิวิไลซ์,3,0,Nakhon Si Thammarat,80210,w1xh28q,0,4.0,,,1,0,87,0,0,0,Hotel/Resort,,,3.0,,,,,,0.0,,,,0.0,
155362,223442,ซิลเวอร์เบเกอรี่,1,0,Nakhon Si Thammarat,80000,w1x04b4,0,0.0,,,0,0,181,0,0,0,Bakery/Cake,,,,,,,,,,,,,,
155415,223501,โกแหลม ก๋วยเตี๋ยวเส้นปลา,1,0,Nakhon Si Thammarat,80160,w1x13cp,0,3.762962963,,11.0,8,5,2680,3,0,2,Noodles,1.0,,,,1.0,1.0,,,,,,,,
155510,223620,ร้านอาหารโกภู่ 100 ปี,1,0,Nakhon Si Thammarat,80000,w1rpfsz,0,4.0,,11.0,3,4,1414,3,0,4,Chinese,1.0,,3.0,,1.0,1.0,,,,,,,,
155620,223779,ครัวพี่เอียด,1,0,Nakhon Si Thammarat,80180,w1rnjgu,0,0.0,,,0,0,342,0,0,0,Thai,,,,,,,,,,,,,,
155844,224047,ร้านอีสานเกินร้อย 101,1,0,Nakhon Si Thammarat,80000,w1rpff6,0,0.0,,,0,0,274,0,0,0,North East,,,,,,,,,,,,,,
156144,224455,ชาวเล ซีฟู๊ด,1,0,Nakhon Si Thammarat,80160,w1x164j,0,3.617647059,,37.0,16,1,8877,5,0,4,Seafood,2.0,,3.0,0.0,,,,,,,,,,
156319,224672,เสต็กโคขุน,1,0,Nakhon Si Thammarat,,w1rpfzd,1,0.0,,,0,0,103,1,0,0,Steak House/Barbeque,1.0,,,0.0,,,,,,,,,,
156491,224889,ร้านลุงรึก,1,0,Nakhon Si Thammarat,,w1x04bs,0,3.0,,,1,0,206,1,0,1,Thai,1.0,,,,,,,,,,,,,
156497,224896,สวนพูลคาเฟ่,1,0,Nakhon Si Thammarat,80180,w1rj71u,0,0.0,,,0,0,137,0,0,0,Thai,,,,,,,,,,,,,,
156569,224984,ก๋วยเตี๋ยวโกลี,1,0,Nakhon Si Thammarat,80140,w1rr2p1,0,0.0,,,0,0,355,0,0,0,Noodles,,,,,,,,,,,,,,
156953,225560,บ้านแยมโรล,1,0,Nakhon Si Thammarat,,w1rpfuy,0,4.058823529,,110.0,21,2,9969,12,0,0,Café/Coffee Shop,1.0,,1.0,,,,,,1.0,,,,,
157117,225759,ลองเบิ่ง,1,0,Nakhon Si Thammarat,80000,w1rpff6,0,4.0,,2.0,2,0,1500,2,0,4,North East,2.0,,,,1.0,,,,,,,,,
157339,226029,โรสคอฟฟี่บีน,1,0,Nakhon Si Thammarat,80000,w1rpg0c,0,0.0,,,0,0,182,0,0,0,Juice/Coffee/Tea/Soft drinks,,,,,,,,,,,,,,
157345,226037,ข้าวแกงสองน้ำ,1,0,Nakhon Si Thammarat,80000,w1rpfce,0,3.625,,4.0,4,1,686,3,0,0,Thai,1.0,,1.0,0.0,,,,,0.0,2.0,,,,
157369,226065,จรัญญาก๋วยเตี๋ยวต้มยำหมูเด้ง,1,0,Nakhon Si Thammarat,,w1rpfzf,0,0.0,,,0,0,175,1,0,0,Noodles,1.0,,,,,,,,,,,,,
157593,226366,ร้านอาหารน้องบัว,1,0,Nakhon Si Thammarat,80000,w1rpdzh,0,0.0,,,0,0,254,0,0,0,Thai,,,,,,,,,,,,,,
157647,226431,ร้านมากินเซ,1,0,Nakhon Si Thammarat,80160,w1x11zb,1,3.0,,1.0,1,0,899,0,0,0,Sushi,1.0,,1.0,0.0,1.0,1.0,1.0,,,,,,,
157791,226605,Gateau De Witch,1,0,Nakhon Si Thammarat,48000,w1rpfvg,0,3.954545455,,65.0,11,3,7549,4,0,24,Dessert,2.0,,3.0,0.0,1.0,1.0,1.0,,1.0,2.0,,,,
157845,226674,โกย้ง อาหาตามสั่ง,1,0,Nakhon Si Thammarat,,w1x048j,0,4.0,,,0,0,66,0,0,0,Quick Meal,1.0,,,,,,,,,,,,,
157884,226724,ปิ่นจันทร์คาราโอเกะ,1,0,Nakhon Si Thammarat,80110,w1rn861,0,0.0,,,0,0,967,0,0,0,Karaoke,,,,,,,,,,,,,,
